24	 M	 technician
53	 F	 other
23	 M	 writer
24	 M	 technician
33	 F	 other
42	 M	 executive
57	 M	 administrator
36	 M	 administrator
29	 M	 student
53	 M	 lawyer
39	 F	 other
28	 F	 other
47	 M	 educator
45	 M	 scientist
49	 F	 educator
21	 M	 entertainment
30	 M	 programmer
35	 F	 other
40	 M	 librarian
42	 F	 homemaker
26	 M	 writer
25	 M	 writer
30	 F	 artist
21	 F	 artist
39	 M	 engineer
49	 M	 engineer
40	 F	 librarian
32	 M	 writer
41	 M	 programmer
7	 M	 student
24	 M	 artist
28	 F	 student
23	 M	 student
38	 F	 administrator
20	 F	 homemaker
19	 F	 student
23	 M	 student
28	 F	 other
41	 M	 entertainment
38	 M	 scientist
33	 M	 engineer
30	 M	 administrator
29	 F	 librarian
26	 M	 technician
29	 M	 programmer
27	 F	 marketing
53	 M	 marketing
45	 M	 administrator
23	 F	 student
21	 M	 writer
28	 M	 educator
18	 F	 student
26	 M	 programmer
22	 M	 executive
37	 M	 programmer
25	 M	 librarian
16	 M	 none
27	 M	 programmer
49	 M	 educator
50	 M	 healthcare
36	 M	 engineer
27	 F	 administrator
31	 M	 marketing
32	 M	 educator
51	 F	 educator
23	 M	 student
17	 M	 student
19	 M	 student
24	 M	 engineer
27	 M	 engineer
39	 M	 scientist
48	 F	 administrator
24	 M	 student
39	 M	 scientist
24	 M	 entertainment
20	 M	 student
30	 M	 technician
26	 M	 administrator
39	 F	 administrator
34	 F	 administrator
21	 M	 student
50	 M	 programmer
40	 M	 other
32	 M	 executive
51	 M	 educator
26	 M	 administrator
47	 M	 administrator
49	 F	 librarian
43	 F	 administrator
60	 M	 educator
55	 M	 marketing
32	 M	 entertainment
48	 M	 executive
26	 M	 student
31	 M	 administrator
25	 F	 artist
43	 M	 artist
49	 F	 executive
20	 M	 student
36	 M	 executive
15	 M	 student
38	 M	 programmer
26	 M	 student
27	 M	 student
24	 M	 engineer
61	 M	 retired
39	 M	 scientist
44	 M	 educator
29	 M	 other
19	 M	 student
57	 M	 engineer
30	 M	 salesman
47	 M	 executive
27	 M	 programmer
31	 M	 engineer
40	 M	 healthcare
20	 M	 student
21	 M	 administrator
32	 M	 programmer
47	 F	 other
54	 M	 librarian
32	 F	 writer
48	 F	 artist
34	 M	 student
30	 M	 lawyer
28	 F	 lawyer
33	 M	 none
24	 F	 marketing
36	 F	 marketing
20	 M	 none
59	 F	 administrator
24	 M	 other
53	 M	 engineer
31	 M	 programmer
23	 M	 student
51	 M	 other
50	 M	 educator
46	 M	 doctor
20	 M	 student
30	 F	 student
49	 M	 programmer
13	 M	 other
42	 M	 technician
53	 M	 programmer
31	 M	 entertainment
45	 M	 artist
40	 F	 librarian
33	 M	 engineer
35	 F	 marketing
20	 F	 artist
38	 F	 administrator
33	 F	 educator
25	 M	 student
25	 M	 student
32	 F	 other
25	 M	 educator
57	 M	 engineer
50	 M	 educator
23	 F	 student
27	 M	 programmer
50	 M	 lawyer
25	 M	 artist
49	 M	 administrator
47	 M	 healthcare
20	 F	 other
47	 M	 educator
37	 M	 other
48	 M	 other
52	 F	 other
53	 F	 healthcare
48	 F	 educator
55	 M	 marketing
56	 M	 other
30	 F	 administrator
26	 F	 scientist
28	 M	 scientist
20	 M	 programmer
26	 M	 other
15	 M	 entertainment
22	 F	 administrator
26	 M	 executive
36	 M	 programmer
33	 M	 scientist
37	 M	 librarian
53	 F	 librarian
39	 F	 executive
26	 M	 educator
42	 M	 student
32	 M	 artist
30	 M	 administrator
33	 M	 administrator
42	 M	 educator
29	 M	 student
38	 M	 administrator
42	 M	 scientist
49	 M	 writer
55	 M	 technician
21	 F	 student
30	 M	 writer
40	 M	 programmer
27	 M	 writer
41	 F	 educator
25	 F	 student
52	 F	 librarian
47	 M	 lawyer
14	 F	 student
39	 M	 marketing
43	 M	 engineer
33	 F	 educator
39	 M	 engineer
66	 M	 salesman
49	 F	 educator
33	 M	 executive
26	 F	 librarian
35	 M	 programmer
22	 M	 engineer
22	 M	 other
37	 M	 administrator
32	 M	 programmer
30	 M	 librarian
19	 M	 student
29	 M	 programmer
19	 F	 student
31	 F	 educator
51	 F	 administrator
28	 M	 student
46	 M	 executive
21	 F	 student
29	 F	 librarian
28	 F	 student
48	 M	 librarian
45	 M	 scientist
38	 M	 engineer
60	 M	 retired
37	 M	 educator
44	 F	 writer
49	 M	 administrator
42	 F	 administrator
39	 M	 artist
23	 F	 educator
26	 F	 student
33	 M	 educator
33	 M	 educator
28	 M	 technician
22	 M	 student
19	 M	 student
28	 M	 engineer
25	 M	 student
25	 M	 student
29	 M	 executive
28	 M	 doctor
42	 M	 engineer
26	 F	 librarian
44	 M	 educator
23	 M	 entertainment
35	 F	 none
17	 M	 student
19	 F	 student
21	 M	 student
40	 F	 artist
28	 M	 administrator
19	 F	 student
41	 M	 programmer
36	 F	 writer
26	 M	 executive
62	 F	 administrator
23	 M	 engineer
24	 M	 engineer
31	 F	 librarian
18	 F	 student
51	 M	 engineer
33	 M	 scientist
50	 F	 other
20	 F	 student
38	 M	 engineer
21	 M	 student
35	 F	 administrator
37	 F	 librarian
33	 M	 programmer
30	 F	 librarian
15	 F	 student
22	 M	 administrator
28	 M	 programmer
40	 M	 executive
25	 M	 programmer
27	 M	 student
21	 M	 salesman
34	 M	 marketing
11	 M	 none
40	 M	 engineer
19	 M	 student
35	 F	 programmer
24	 M	 writer
34	 M	 technician
31	 M	 educator
43	 F	 administrator
29	 F	 educator
44	 M	 executive
29	 M	 doctor
26	 F	 programmer
24	 M	 student
42	 M	 educator
19	 M	 student
22	 F	 student
23	 M	 programmer
45	 M	 other
25	 M	 student
60	 M	 retired
40	 M	 scientist
37	 M	 educator
32	 M	 technician
48	 M	 other
41	 M	 marketing
20	 F	 student
31	 M	 educator
43	 F	 other
22	 M	 administrator
65	 M	 retired
38	 M	 programmer
19	 M	 student
49	 F	 educator
20	 M	 student
21	 M	 student
21	 F	 student
48	 M	 technician
41	 M	 administrator
22	 M	 student
51	 M	 administrator
48	 M	 educator
35	 F	 educator
33	 M	 entertainment
20	 M	 student
47	 M	 other
32	 M	 librarian
45	 M	 executive
23	 M	 salesman
37	 M	 scientist
39	 F	 librarian
35	 M	 lawyer
46	 M	 engineer
17	 F	 student
25	 F	 other
43	 M	 engineer
30	 F	 librarian
28	 F	 librarian
34	 M	 other
18	 M	 student
24	 F	 student
68	 M	 retired
32	 M	 student
61	 M	 educator
37	 F	 programmer
25	 M	 scientist
29	 F	 librarian
25	 M	 student
32	 F	 homemaker
26	 M	 executive
40	 M	 educator
22	 M	 student
51	 M	 other
22	 M	 student
35	 F	 homemaker
20	 M	 student
63	 M	 engineer
29	 M	 lawyer
20	 F	 student
17	 M	 student
18	 M	 student
24	 M	 student
52	 M	 writer
36	 M	 engineer
25	 F	 student
24	 F	 other
36	 M	 executive
17	 M	 entertainment
28	 F	 other
22	 M	 student
35	 M	 student
44	 M	 programmer
32	 M	 engineer
33	 M	 artist
45	 M	 engineer
42	 M	 administrator
52	 M	 programmer
36	 M	 writer
36	 M	 salesman
33	 M	 entertainment
31	 M	 other
44	 F	 writer
42	 F	 writer
23	 M	 student
52	 M	 writer
19	 M	 student
25	 M	 administrator
43	 M	 other
57	 M	 engineer
17	 M	 student
40	 M	 other
25	 M	 other
33	 F	 administrator
46	 F	 healthcare
30	 M	 engineer
37	 M	 other
29	 F	 programmer
22	 F	 healthcare
52	 M	 educator
29	 M	 engineer
23	 M	 student
48	 M	 administrator
30	 F	 artist
34	 M	 educator
25	 M	 educator
55	 M	 educator
24	 M	 programmer
39	 M	 educator
20	 F	 student
27	 F	 other
55	 F	 none
37	 M	 lawyer
53	 M	 educator
38	 F	 programmer
26	 M	 entertainment
64	 M	 other
36	 F	 marketing
19	 M	 student
55	 M	 educator
51	 M	 doctor
28	 M	 student
27	 M	 student
38	 M	 scientist
24	 M	 marketing
22	 M	 entertainment
27	 M	 artist
16	 F	 student
24	 M	 engineer
30	 F	 administrator
27	 F	 other
51	 F	 administrator
23	 F	 administrator
30	 M	 other
50	 M	 technician
22	 M	 student
35	 M	 salesman
51	 F	 lawyer
21	 M	 writer
57	 M	 educator
30	 M	 administrator
23	 M	 entertainment
23	 M	 librarian
35	 F	 educator
16	 M	 student
35	 M	 administrator
18	 M	 student
57	 M	 other
48	 M	 administrator
24	 M	 technician
33	 F	 salesman
47	 M	 technician
22	 M	 student
44	 F	 other
15	 M	 student
19	 F	 student
48	 F	 healthcare
60	 M	 writer
32	 M	 other
22	 M	 student
29	 M	 engineer
28	 M	 engineer
60	 M	 educator
24	 M	 programmer
10	 M	 student
24	 M	 student
29	 M	 student
51	 M	 executive
30	 M	 programmer
28	 M	 student
23	 F	 student
29	 M	 other
30	 M	 educator
57	 M	 retired
73	 M	 retired
18	 F	 student
29	 M	 scientist
27	 M	 student
44	 F	 educator
39	 M	 educator
22	 M	 engineer
48	 M	 technician
55	 M	 other
29	 F	 artist
43	 F	 writer
57	 M	 educator
22	 M	 engineer
38	 F	 administrator
29	 M	 engineer
21	 F	 student
20	 M	 student
26	 M	 writer
42	 M	 programmer
28	 M	 administrator
